no	summary	example	trigger	input	inside	action	output
001	AWSでデータを集め、加工し、分析するための支援道具。	保存した売上データを分析する前に、必要なAWS構成と手順を調べる。	AWSの分析手順を知りたくなる	構成の相談・対象サービス・地域	説明書と専門手順を探す	必要な設計手順を取り出す	参考文書・設計手順・必要な実行作業
002	最近の変化や調査の手掛かりを探す検索道具。	AIサービスの最近の変更を探し、詳しく調べる対象を絞る。	最近何が変わったか知りたくなる	話題・検索条件	関係する情報を探す	調査の入口になる候補を返す	変化の手掛かり・調査候補
003	画像・PDF・動画などを編集し、使える形式へ整える道具。	文字を選べないPDFから文字を読み取り、内容を確認できる形にする。	素材を別の形で使いたくなる	画像・PDF・動画・加工条件	素材の種類と内容を読む	読み取り・変換・仕上げを行う	加工済み素材・抽出した文字
004	表形式で仕事の情報を管理するデータベース。	依頼一覧に担当と期限を入れ、未完了の仕事を探す。	仕事の情報を登録・確認したくなる	表の名前・項目・レコード	表の型と現在の行を読む	条件に合う行を探す、または更新する	該当行・更新された業務記録
005	株式などの価格や取引状況を調べる市場データの道具。	銘柄と期間を指定して、過去の価格推移を取得する。	ある銘柄の値動きを確認したくなる	銘柄・期間・時間足	時刻付きの価格記録を探す	指定した範囲の市場データを返す	時刻・価格・出来高などの一覧
006	営業先の会社や担当者を探して整理する道具。	業種を指定し、連絡候補になる会社と担当者を探す。	営業先の候補をそろえたくなる	会社名・職種・業種などの条件	会社と人物の情報を照合する	候補を探し、営業用の記録へ整える	会社・担当者の候補と属性
007	作ったアプリを検査し、公開先へ出す道具。	アプリの版と検査結果を確認してから、公開する版を選ぶ。	アプリを公開・更新したくなる	ソース・版・公開条件	ソースと検査状態を確認する	選んだ版を公開工程へ渡す	検査結果・公開版・公開状態
008	楽曲やアーティストを音楽カタログから探す道具。	うろ覚えの曲名で検索し、正式な曲名とアルバムを確認する。	曲の正式な情報が必要になる	曲名・アーティスト名・曲の候補	音楽カタログと照合する	候補を絞り、曲の詳細を返す	曲名・アーティスト・アルバム・識別情報
009	タロットのカードと解釈を使い、相談を別の角度から見る道具。	行き詰まった企画を相談し、カードの意味から別案を考える。	同じ考えを繰り返していると気づく	相談内容・選ぶ展開方法	カードと相談内容を組み合わせる	別の見方を文章にする	カードの解釈・考えるための問い
010	指示からアプリを作り、データや画面を直す道具。	持ち物リストのアプリを作り、名前と貸出状態を保存する。	小さな業務アプリが必要になる	アプリの仕様・画面・保存項目	画面・データの型・ソースを組み立てる	アプリを作成・修正する	アプリ・データ構造・変更状態
011	会社や市場に関する資料を探し、金融調査の材料をそろえる道具。	会社名から関連資料を集め、同じ会社についての情報として整理する。	企業や市場の状況を調べたくなる	会社名・銘柄・調査テーマ	会社・証券・資料の対象を照合する	関連情報を集めて整理する	資料・企業情報・調査材料
012	暗号資産市場の価格や注文状況を調べる道具。	通貨ペアを指定し、価格と注文板の厚さを確認する。	暗号資産市場の状態を見たくなる	通貨ペア・市場・期間	価格・取引・注文板を読む	市場の状態を数値で返す	価格・取引記録・注文板など
013	旅行先の宿泊施設などを探す予約サービス。	行き先と宿泊日を入れ、条件に合うホテルを比べる。	旅先の宿を探したくなる	行き先・日付・人数・条件	条件に合う宿の候補を探す	施設情報と候補を返す	宿泊候補・施設情報・保存した候補
014	テンプレートや素材を使ってデザインを作る道具。	イベント名と日時を入れ、告知画像の文字と配置を整える。	告知画像や資料が必要になる	文章・素材・テンプレート・ブランド条件	素材と文字をレイアウトへ当てはめる	デザインを作成・編集する	編集可能なデザイン・出力素材
015	大量データを高速に集計し、分析環境の状態も調べる道具。	遅くなった集計について、実行状況と遅いクエリを調べる。	集計結果や分析環境を確認したくなる	問い合わせ文・表・サービスの指定	データと実行指標を読む	集計または性能の確認を行う	集計表・実行指標・問題の手掛かり
016	文章・表・計算を一つの文書で扱う道具。	作業メモの横に進捗表を置き、行を更新して状況をそろえる。	文書と表を一緒に管理したくなる	文書・表の行・計算式	文書内のデータと式を読む	内容や表を更新し、式を計算する	更新された文書・表・計算結果
017	研究質問に関係する論文を探す道具。	睡眠と判断力の関係を調べ、関係する研究を見つける。	ある主張に研究があるか知りたくなる	研究質問・調べる条件	論文を対象に検索する	質問に関係する研究を返す	論文候補・参照情報
018	Convexを使うアプリの設計や導入を助ける道具。	既存アプリに保存機能を加える前に、導入手順を調べる。	Convexの構成や導入で迷う	仕様・既存構成・困っている点	専用の設計手順を参照する	構成案と実装手順を示す	設計案・導入手順・運用手順
019	講座や教材を探し、学習や練習を進める道具。	データ分析を学ぶ講座を探し、教材を使って練習する。	身につけたい知識や技能ができる	学びたいテーマ・現在の理解	講座や教材を探す	学習内容と練習の入口を返す	講座候補・教材・練習内容
020	クラウド上のサーバーを作り、状態を管理する道具。	使っているサーバーの構成とバックアップ設定を確認する。	サーバーを用意・点検したくなる	サーバー指定・構成・操作条件	電源・ディスク・ネットワークの状態を読む	指定した管理操作を行う	サーバー状態・構成・操作結果
021	ファイルを保存・検索・共有し、過去の版も扱う道具。	提出した資料を探し、修正前の版と見比べる。	保存したファイルや古い版が必要になる	ファイル名・場所・版の指定	ファイルと変更履歴を探す	対象の内容や版を取り出す	ファイル・内容・版の情報
022	論文を集め、同じ項目で比較する文献レビューの道具。	睡眠不足と判断力の論文を集め、対象・方法・結果を比較する。	複数の論文をそろえて比べたくなる	研究質問・対象条件・論文候補	論文を検索し、比較項目を取り出す	論文群をレビューとして整理する	対象論文・比較材料・保存したレビュー
023	Webから関係するページを探し、本文を取り出す道具。	調べたい技術の解説ページを探し、候補の本文を読む。	質問に関係するWeb資料が必要になる	検索語・調査条件・URL	ページ候補と本文を取得する	候補発見と内容取得を行う	URL・ページ本文
024	アプリやWebの画面を設計し、部品や配置を編集する道具。	検索欄とカード一覧を配置し、文字サイズや色を確かめる。	画面を設計・修正したくなる	画面要件・既存デザイン・部品	画面の要素・部品・設定を読む	編集可能な画面を組み立てる	画面設計・部品・実装用の情報
025	Webページやサイト全体から情報を取り出す道具。	資料サイトのページ一覧を調べ、必要なページの本文を集める。	サイト内の複数ページを調べたくなる	URL・取得範囲・抽出条件	サイト構造と対象ページをたどる	本文を取得し、必要な内容を抽出する	ページ一覧・本文・抽出結果
026	出発地と目的地などから航空便を探す道具。	東京からマニラまでの便を日付と人数を指定して探す。	移動する便を選びたくなる	出発地・目的地・日付・人数	条件に合う便を検索する	移動候補を返す	便の候補・旅程情報
027	表の数値をグラフや地図などへ変える道具。	月ごとの売上表を入れ、増減が見えるグラフにする。	数値の関係を目で比較したくなる	データ表・図の型・設定	表の列を図の項目へ対応づける	数値を視覚表現へ変換する	編集可能なグラフ・可視化
